rtt,cwnd
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,15
16,15
17,7.5
18,7.5
19,7.5
20,7.5
21,7.5
22,7.5
23,7.5
24,7.5
25,7.5
26,7.5
27,7.633333333333334
28,2
29,2.0
30,2.5
31,2.9
32,3.2448275862068963
33,3.5530103704789475
34,3.8344618428159674
35,4.095254632258779
36,4.339439692724345
37,4.569884190357676
38,4.569884190357676
39,4.569884190357676
40,2.284942095178838
41,2.7225899472228665
42,3.089887270501399
43,3.4135236728863085
44,3.706476086822389
45,3.9762741312655447
46,4.22776584611915
47,4.4642973940803365
48,4.688296808036495
49,4.9015938839139945
50,5.105609153983959
51,5.3014721685313395
52,5.3014721685313395
53,5.3014721685313395
54,2.6507360842656698
55,2.6507360842656698
56,1.3253680421328349
57,2.079875445518509
58,2.5606734674167395
59,2.9511957314712896
60,2.9511957314712896
61,1.4755978657356448
62,2.153289276939645
63,2.61769506333786
64,2.999710529541508
65,3.3330760293628674
66,3.633099188507891
67,3.908346284200508
68,4.164208975805523
69,4.404350622348744
70,4.631398849373577
71,4.847316336189738
72,5.0536160555899485
73,5.0536160555899485
74,5.0536160555899485
75,2.5268080277949743
76,2.5268080277949743
77,2.9225642502701152
78,3.264729525133645
79,3.5710336132063203
80,3.8510645813556597
81,4.110733038966407
82,4.353998653765717
83,4.583672587894087
84,4.801838257632605
85,5.01009183602219
86,5.209688975701362
87,5.401639014305226
88,5.586768008921802
89,5.765762375325248
90,5.765762375325248
91,5.765762375325248
92,2.882881187662624
93,3.2297563916354863
94,3.2297563916354863
95,3.2297563916354863
96,1.6148781958177432
97,2.234119945808441
98,2.6817234873623117
99,3.054618010124455
100,3.3819911863073773
101,3.3819911863073773
102,3.3819911863073773
103,1.6909955931536886
104,2.2823631898811354
105,2.7205055523383916
106,3.0880842912020037
107,3.411909648835218
108,3.705000645644406
109,3.9749061316732948
110,4.226484399655949
111,4.463087662661345
112,4.687147792236236
113,4.90049715614074
114,5.10455808468284
115,5.300461428990094
116,5.4891242488968
117,5.671302672021579
118,5.847629004406082
119,5.847629004406082
120,5.847629004406082
121,2.923814502203041
122,2.923814502203041
123,3.265833463818601
124,3.5720340129521575
125,3.8519865543820573
126,4.111592860344468
127,4.111592860344468
128,4.111592860344468
129,2.055796430172234
130,1.027898215086117
131,2.0
132,2.5
133,2.9
134,3.2448275862068963
135,3.2448275862068963
136,3.2448275862068963
137,1.6224137931034481
138,2.23877936164755
139,2.685451337069052
140,3.0578282206849794
141,3.384857709534419
142,3.680291103140069
143,3.9520087395919212
144,4.205044617266437
145,4.442854222399728
146,4.667934756205734
147,4.882162257708527
148,5.086989534479405
149,5.2835694553190375
150,5.472835444619753
151,5.472835444619753
152,5.472835444619753
153,2.0
154,2.0
155,2.0
156,2.5
157,2.9
158,3.2448275862068963
159,3.5530103704789475
160,3.8344618428159674
161,4.095254632258779
162,4.339439692724345
163,4.569884190357676
164,4.7887081163796905
165,4.997532704493449
166,5.197631445038131
167,5.390026771750771
168,5.575554607204394
169,5.754908962142979
170,5.92867365704575
171,6.097345447373015
172,6.261351244425376
173,6.4210611793839565
174,6.4210611793839565
175,6.4210611793839565
176,3.2105305896919782
177,3.2105305896919782
178,3.2105305896919782
179,3.5220055848876917
180,3.8059347201198515
181,4.068682264031616
182,4.068682264031616
183,4.068682264031616
184,2
185,2.0
186,2.5
187,2.9
188,3.2448275862068963
189,3.5530103704789475
190,3.8344618428159674
191,4.095254632258779
192,4.339439692724345
193,4.569884190357676
194,4.7887081163796905
195,4.997532704493449
196,5.197631445038131
197,5.390026771750771
198,5.575554607204394
199,5.754908962142979
200,5.92867365704575
201,5.92867365704575
202,5.92867365704575
203,2.964336828522875
204,2.964336828522875
205,3.301680409177405
206,3.301680409177405
207,1.6508402045887025
208,2.0
209,2.5
210,2.9
211,3.2448275862068963
212,3.5530103704789475
213,3.8344618428159674
214,4.095254632258779
215,4.339439692724345
216,4.569884190357676
217,4.7887081163796905
218,4.997532704493449
219,5.197631445038131
220,5.390026771750771
221,5.575554607204394
222,5.754908962142979
223,5.92867365704575
224,6.097345447373015
225,6.261351244425376
226,6.4210611793839565
227,6.576798676981813
228,6.7288483365677
229,6.877462178042702
230,7.02286464978477
231,7.165256686349315
232,7.3048190277662135
233,7.441714958548197
234,7.576092585959378
235,7.70808674899974
236,7.837820628827931
237,7.965407115857494
238,8.090949977064074
239,8.214544858114477
240,8.336280148051104
241,8.456237728919326
242,8.574493628535313
243,8.691118591282043
244,8.806178579187753
245,8.919735213431279
246,9.031846164717614
247,9.142565499586983
248,9.25194398859482
249,9.36002938137635
250,9.466866652847923
251,9.572498224166102
252,9.676964161540262
253,9.676964161540262
254,9.676964161540262
255,4.838482080770131
256,4.838482080770131
257,4.838482080770131
258,4.838482080770131
259,4.838482080770131
260,4.838482080770131
261,5.045158468799832
262,5.243368298319396
263,5.4340853990655935
264,5.618109006823387
265,5.618109006823387
266,5.618109006823387
267,2.8090545034116934
268,2.8090545034116934
269,3.1650461720622896
270,3.480997329055496
271,3.768271321383244
272,4.0336449940074655
273,4.281559721626192
274,4.51511946737702
275,4.736597549457744
276,4.947719560470582
277,5.149832875054824
278,5.344013933792454
279,5.5311391943904065
280,5.711933776637439
281,5.8870058343861
282,6.056871472051853
283,6.056871472051853
284,6.056871472051853
285,3.0284357360259264
286,3.0284357360259264
287,3.0284357360259264
288,3.358639209754662
289,3.656378841059998
290,3.9298734770015233
291,4.184334595368875
292,4.423321219695423
293,4.649395689608973
294,4.8644774049026225
295,5.070049333141442
296,5.2672860727256685
297,5.457137162298734
298,5.640383426825236
299,5.817676338375199
300,5.989566272059493
301,5.989566272059493
302,5.989566272059493
303,2.9947831360297466
304,2.9947831360297466
305,3.3286971306589948
306,3.6291149700561243
307,3.9046642453618152
308,4.1607682115832025
309,4.1607682115832025
310,4.1607682115832025
311,2.0803841057916013
312,2.5610645711037954
313,1.2805322855518977
314,2.0
315,2.5
316,2.9
317,3.2448275862068963
318,3.5530103704789475
319,3.8344618428159674
320,4.095254632258779
321,4.339439692724345
322,4.569884190357676
323,4.7887081163796905
324,4.997532704493449
325,5.197631445038131
326,5.390026771750771
327,5.575554607204394
328,5.754908962142979
329,5.754908962142979
330,5.754908962142979
331,2.8774544810714895
332,2.8774544810714895
333,3.2249838708770326
334,3.5350629410486456
335,3.817943335733601
336,4.0798644571501015
337,4.324970639108541
338,4.556186081580567
339,4.77566789862986
340,4.985062693499684
341,5.185661976093252
342,5.378501386878252
343,5.564426782833279
344,5.7441398133084185
345,5.918230283335476
346,6.0871997137437175
347,6.0871997137437175
348,6.0871997137437175
349,3.0435998568718587
350,3.0435998568718587
351,3.3721581585625997
352,3.3721581585625997
353,3.3721581585625997
354,1.6860790792812999
355,2.279171071399638
356,2.717927079032668
357,3.085854536584586
358,3.085854536584586
359,1.542927268292293
360,2.0
361,2.0
362,2.0
363,2.5
364,2.9
365,3.2448275862068963
366,3.5530103704789475
367,3.8344618428159674
368,4.095254632258779
369,4.339439692724345
370,4.569884190357676
371,4.7887081163796905
372,4.997532704493449
373,5.197631445038131
374,5.390026771750771
375,5.575554607204394
376,5.754908962142979
377,5.92867365704575
378,6.097345447373015
379,6.261351244425376
380,6.4210611793839565
381,6.576798676981813
382,6.7288483365677
383,6.877462178042702
384,7.02286464978477
385,7.165256686349315
386,7.3048190277662135
387,7.441714958548197
388,7.576092585959378
389,7.70808674899974
390,7.837820628827931
391,7.965407115857494
