rtt,retransmissions
1,2
2,3
3,4
4,5
5,5
6,6
7,6
8,8
9,10
10,10
11,17
12,17
13,17
14,18
15,20
16,20
17,21
18,21
19,22
20,25
21,27
22,27
23,28
24,28
25,28
26,29
27,29
28,29
29,29
30,31
31,31
32,31
33,32
34,33
35,33
36,34
37,34
38,34
39,35
40,35
41,35
42,35
43,35
44,35
45,35
46,37
47,37
48,37
49,37
50,38
51,39
52,39
53,39
54,39
55,39
56,40
57,41
58,41
59,46
60,46
61,46
62,46
63,46
64,46
65,50
66,50
67,50
68,51
69,54
70,54
71,58
72,58
73,59
74,59
75,60
76,61
77,61
78,62
79,62
80,65
81,68
82,68
83,70
84,70
85,71
86,71
87,73
88,73
89,74
90,74
91,74
92,74
93,74
94,74
95,75
96,76
97,76
98,80
99,80
100,80
101,81
102,82
103,85
104,87
105,88
106,88
107,90
108,94
109,94
110,96
111,96
112,98
113,98
114,98
115,98
116,98
117,102
118,103
119,103
120,104
121,106
122,106
123,108
124,109
125,109
126,110
127,110
128,110
129,110
130,110
131,110
132,110
133,110
134,110
135,110
136,112
137,113
138,113
139,113
140,113
141,114
142,115
143,115
144,117
145,117
146,117
147,122
148,122
149,125
150,125
151,125
152,125
153,125
154,125
155,125
156,125
157,129
158,129
159,130
160,133
161,133
162,133
163,133
164,133
165,133
166,136
167,137
168,139
169,140
170,141
171,141
172,142
173,148
174,150
175,152
176,152
177,153
178,154
179,155
180,158
181,161
182,162
183,163
184,163
185,165
186,165
187,166
188,167
189,167
190,169
191,171
192,173
193,173
194,175
195,175
196,175
197,176
198,178
199,180
200,181
201,181
202,185
203,185
204,185
205,185
206,185
207,185
208,186
209,187
210,188
211,188
212,190
213,190
214,191
215,192
216,193
217,196
218,198
219,199
220,200
221,201
222,207
223,208
224,208
225,210
226,210
227,211
228,213
229,213
230,218
231,219
232,220
233,222
234,230
235,230
236,231
237,231
238,231
239,232
240,232
241,232
242,232
243,232
244,232
245,232
246,232
247,235
248,235
249,235
250,236
251,236
252,236
253,237
254,238
255,238
256,238
257,239
258,242
259,242
260,244
261,248
262,248
263,249
264,249
265,250
266,250
267,250
268,250
269,250
270,251
271,253
272,253
273,253
274,254
275,256
276,256
277,257
278,257
279,257
280,259
281,259
282,261
283,265
284,266
285,269
286,269
287,271
288,271
289,274
290,274
291,275
292,275
293,279
294,279
295,279
296,279
297,280
298,280
299,280
300,284
301,289
302,290
303,290
304,291
305,292
306,293
307,295
308,296
309,297
310,298
311,300
312,300
313,303
314,303
315,303
316,303
317,305
318,305
319,307
320,307
321,308
322,309
323,310
324,310
325,311
326,311
327,312
328,312
329,312
330,312
331,312
332,312
333,313
334,315
335,316
336,316
337,318
338,318
339,323
340,324
341,324
342,326
343,326
344,326
345,326
346,327
347,329
348,329
349,330
350,331
351,331
352,331
353,331
354,331
355,332
356,334
357,334
358,335
359,336
360,336
361,336
362,337
363,337
364,337
365,338
366,340
367,340
368,340
369,340
370,340
371,340
372,340
373,341
374,342
375,342
376,348
377,348
378,348
379,350
380,350
381,351
382,351
383,355
384,356
385,356
386,360
387,360
388,360
389,360
390,360
391,360
392,360
393,362
394,364
395,364
396,364
397,365
398,367
399,367
400,368
401,368
402,368
403,368
404,368
405,368
406,370
407,371
408,372
409,372
410,375
411,376
412,376
413,377
414,377
415,380
416,383
417,386
418,386
419,387
420,388
421,390
422,390
423,393
424,394
425,401
426,402
427,402
428,403
429,403
430,403
431,403
432,403
433,407
434,409
435,409
436,410
437,410
438,411
439,411
440,411
441,411
442,411
443,412
444,413
445,413
446,415
447,415
448,415
449,415
450,415
451,415
452,419
453,419
454,420
455,420
456,420
457,420
458,420
459,420
460,421
461,421
462,424
463,424
464,429
465,429
466,430
467,433
468,434
469,436
470,436
471,438
472,438
473,443
474,443
475,444
476,446
477,446
478,447
479,447
480,448
481,452
482,456
483,458
484,459
485,459
486,460
487,462
488,462
489,464
490,464
491,465
492,466
493,466
494,469
495,469
496,471
497,471
498,471
499,471
500,472
501,473
502,473
503,473
504,473
505,473
506,473
507,473
508,473
509,475
510,484
511,485
512,485
513,486
514,486
515,486
516,487
517,489
518,489
519,489
520,491
521,491
522,494
523,495
524,496
525,499
526,502
527,504
528,504
529,507
530,507
531,508
532,511
533,511
534,513
535,513
536,513
537,516
538,518
539,519
540,519
541,523
542,523
543,523
544,526
545,526
546,526
547,526
548,526
549,526
550,527
551,527
552,527
553,528
554,528
555,528
556,532
557,533
558,533
559,536
560,536
561,537
562,538
563,538
564,540
565,540
566,540
567,541
568,541
569,541
570,542
571,542
572,542
573,543
574,544
575,544
576,544
577,545
578,546
579,546
580,546
581,547
582,549
583,549
584,549
585,549
586,549
587,549
588,549
589,552
590,552
591,552
592,554
593,554
594,556
595,556
596,558
597,561
598,563
599,563
600,566
601,566
602,566
603,568
604,568
605,572
606,577
607,581
608,581
609,583
610,583
611,586
612,586
613,587
614,587
615,587
616,590
617,590
618,591
619,593
620,593
621,594
622,595
623,596
624,597
625,601
626,602
627,602
628,606
629,606
630,606
631,606
632,607
633,607
634,608
635,609
636,609
637,610
638,610
639,610
640,611
641,611
642,611
643,613
644,613
645,613
646,617
647,618
648,618
649,619
650,619
651,620
652,621
653,621
654,622
655,622
656,623
657,623
658,625
659,625
660,626
661,626
662,626
663,628
664,628
665,628
666,630
667,630
668,632
669,632
670,635
671,635
672,636
673,638
674,638
675,639
676,639
677,643
678,643
679,643
680,645
681,649
682,652
683,654
684,657
685,658
686,658
687,659
688,659
689,659
690,660
691,662
692,662
693,663
694,664
695,666
696,666
697,668
698,668
699,668
700,668
701,668
702,668
703,668
704,668
705,669
706,670
707,679
708,679
709,680
710,680
711,681
712,681
713,683
714,684
715,684
716,686
717,686
718,688
719,688
720,689
721,689
722,689
723,690
724,691
725,691
726,691
727,692
728,693
729,693
730,693
731,694
732,694
733,694
734,695
735,702
736,703
737,704
738,709
739,712
740,713
741,713
742,714
743,716
744,716
745,719
746,719
747,722
748,722
749,723
750,724
751,725
752,726
753,728
754,731
755,731
756,732
757,732
758,732
759,735
760,736
761,736
762,737
763,737
764,737
765,737
766,737
767,738
768,741
769,742
770,742
771,745
772,748
773,748
774,749
775,749
776,749
777,751
778,753
779,753
780,755
781,756
782,759
783,760
784,764
785,764
786,765
787,765
788,768
789,769
790,769
791,773
792,773
793,775
794,775
795,777
796,777
797,778
798,778
799,780
800,780
801,781
802,783
803,783
804,783
805,783
806,784
807,785
808,787
809,789
810,790
811,792
812,793
813,793
814,794
815,797
816,798
817,798
818,800
819,800
820,800
821,802
822,803
823,804
824,804
825,806
826,806
827,810
828,810
829,811
830,811
831,811
832,813
833,813
834,815
835,815
836,816
837,817
838,817
839,818
840,818
841,820
842,820
843,820
844,821
845,822
846,822
847,822
848,822
849,825
850,828
851,829
852,830
853,830
854,832
855,832
856,832
857,832
858,833
859,833
860,834
861,835
862,835
863,835
864,835
865,837
866,841
867,842
868,842
869,843
870,843
871,845
872,850
873,851
874,851
875,852
876,852
877,855
878,855
879,857
880,858
881,860
882,860
883,862
884,863
885,866
886,866
887,867
888,867
889,869
890,869
891,870
892,870
893,870
894,870
895,870
896,870
897,871
898,872
899,872
900,872
901,875
902,879
903,879
904,881
905,881
906,881
907,881
908,881
909,884
910,887
911,887
912,888
913,888
914,890
915,890
916,890
917,891
918,891
919,891
920,891
921,891
922,892
923,894
924,895
925,897
926,898
927,898
928,899
929,899
930,900
931,901
932,901
933,901
934,902
935,902
936,902
937,903
938,906
939,908
940,909
941,909
942,910
943,911
944,911
945,913
946,913
