rtt,retransmissions
947,913
948,914
949,914
950,914
951,914
952,914
953,914
954,914
955,914
956,914
957,914
958,914
959,916
960,917
961,917
962,917
963,917
964,921
965,922
966,922
967,925
968,925
969,926
970,926
971,926
972,927
973,929
974,929
975,930
976,930
977,930
978,930
979,930
980,930
981,932
982,933
983,933
984,933
985,933
986,933
987,933
988,934
989,935
990,935
991,935
992,936
993,937
994,937
995,937
996,938
997,939
998,941
999,941
1000,942
1001,947
1002,947
1003,948
1004,949
1005,950
1006,951
1007,951
1008,953
1009,953
1010,954
1011,954
1012,959
1013,960
1014,960
1015,962
1016,962
1017,963
1018,966
1019,966
1020,967
1021,968
1022,969
1023,971
1024,972
